ФИО;Должность
Ашимбаев Маулен Сагатханулы;Председатель Сената Парламента Республики Казахстан
Асанов Жакип Кажманович;Заместитель Председателя Сената Парламента Республики Казахстан
Перепечина Ольга Валентиновна;Заместитель Председателя Сената Парламента Республики Казахстан
Бекназаров Нурлан Кудиярович;Председатель комитета по конституционному законодательству, судебной системе и правоохранительным органам
Макежанов Султанбек Алмасбекович;Председатель комитета по финансам и бюджету
Лукин Андрей Иванович;Председатель комитета по международным отношениям, обороне и безопасности
Алдашев Суиндик Тасеменович;Председатель комитета по экономической политике, инновационному развитию и предпринимательству
Жусип Нурторе Байтелесович;Председатель комитета по социально-культурному развитию и науке
Бектаев Али Абдикаримович;Председатель комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Аргынбекова Айнур Серикпаевна;Секретарь комитета по социально-культурному развитию и науке, Секретарь Совета
Больгерт Евгений Андреевич;Секретарь комитета по конституционному законодательству, судебной системе и правоохранительным органам
Булавкина Ольга Александровна;Секретарь комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Карплюк Сергей  Алексеевич;Секретарь комитета по финансам и бюджету
Кыдырали Дархан Куандыкулы;Секретарь комитета по международным отношениям, обороне и безопасности
Шайдаров Серик Жаманкулович;Секретарь комитета по экономической политике, инновационному развитию и предпринимательству
Айткенов Ернур Нурмуханович;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Аккужина Бибигуль Беркутовна;Член комитета по экономической политике, инновационному развитию и предпринимательству
Арубаев Сакен Каланович;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Асанова Жанна Бейсентаевна;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Байкадамов Наурызбай Сейткалиевич;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Бекенов Нурлан Жексембаевич;Член комитета по финансам и бюджету
Буктугутов Шакарым Сабырович;Член комитета по экономической политике, инновационному развитию и предпринимательству
Дюсембинов  Султан Мырзабекович;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Ершов Сергей Михайлович;Член комитета по международным отношениям, обороне и безопасности
Жексенбай Бибигуль Нургалиевна;Член комитета по международным отношениям, обороне и безопасности
Жоргенбаев Жанболат Акебаевич;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Жунусов Талгат Турлыбекович;Член комитета по социально-культурному развитию и науке
Кадырбек Мурат Болатулы;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Каниев Бауыржан  Нуралиевич;Член комитета по экономической политике, инновационному развитию и предпринимательству
Капбарова Айгуль Жарылкасыновна;Член комитета по социально-культурному развитию и науке
Кожаев Марат Шадетханович;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Кузиев Закиржан Пирмухамедович;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Лукпанов Сагындык Есенгалиевич;Член комитета по экономической политике, инновационному развитию и предпринимательству
Медебаев Советбек Турсынович;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Наутиев Алибек Ибатуллиевич;Член комитета по экономической политике, инновационному развитию и предпринимательству
Ниязова Нурия Исмагиловна;Член комитета по финансам и бюджету
Нугманов Амангельды Шайхуллович;Член комитета по международным отношениям, обороне и безопасности
Нухулы Алтынбек;Член комитета по социально-культурному развитию и науке
Орынбасаров Бекбол Тилеумуратович;Член комитета по финансам и бюджету
Орынбеков Бекболат Серикбекович;Член комитета по финансам и бюджету
Рахметова Асем Калашбаевна;Член комитета по социально-культурному развитию и науке
Рустемов Руслан Рустемович;Член комитета по социально-культурному развитию и науке
Рысбекова Ляззат Туякбаевна;Член комитета по экономической политике, инновационному развитию и предпринимательству
Сарыбаев Галиаскар Тулендинович;Член комитета по международным отношениям, обороне и безопасности
Сатвалдиев Алишер Гапиржанович;Член комитета по международным отношениям, обороне и безопасности
Тастекеев Кайрат Кулбаевич;Член комитета по конституционному законодательству, судебной системе и правоохранительным органам
Толамисов Амангельды Габдылкаримович;Член комитета по социально-культурному развитию и науке
Утегулов Арман Каримович;Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий
Утешов Серик Балгатаевич;Член комитета по финансам и бюджету
Шиповских Геннадий Геннадиевич;Член комитета по международным отношениям, обороне и безопасности
